"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"FAN PTS","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC_TGT","REC","REC_YDS","REC_TDS"
"71",8,"Isaiah Spiller",LAC,"5.4","18","41","0","3","3","13","0"
"72",8,"Leonard Fournette",FA,"154.1","189","668","3","83","73","523","3"
"73",8,"Deuce Vaughn",DAL,"0","0","0","0","0","0","0","0"
"74",8,"Israel Abanikanda",NYJ,"0","0","0","0","0","0","0","0"
"75",8,"Zack Moss",IND,"53.5","93","456","1","13","11","39","0"
"76",8,"Evan Hull",IND,"0","0","0","0","0","0","0","0"
"77",8,"Latavius Murray",BUF,"127.2","171","760","6","35","27","132","0"
"78",8,"Boston Scott",PHI,"41.2","54","217","3","6","5","15","0"
"79",8,"Keaontay Ingram",ARI,"14.1","27","60","1","5","4","21","0"
"80",8,"Sean Tucker",TB,"0","0","0","0","0","0","0","0"
"81",8,"Matt Breida",NYG,"39.8","54","220","1","25","20","118","0"
"82",8,"D'Ernest Johnson",JAC,"2.4","4","17","0","3","3","7","0"
"83",8,"DeWayne McBride",MIN,"0","0","0","0","0","0","0","0"
"84",8,"Malik Davis",DAL,"28.4","38","161","1","7","6","63","0"
"85",8,"Chris Evans",CIN,"9.8","0","0","0","4","3","38","1"
"86",8,"Jordan Mason",SF,"31.8","43","258","1","0","0","0","0"
"87",8,"Zonovan Knight",NYJ,"46","85","300","1","14","13","100","0"
"88",8,"JaMycal Hasty",JAC,"49.5","46","194","2","27","21","121","1"
"89",8,"Ronald Jones II",DAL,"15.2","17","70","1","1","1","22","0"
"90",8,"Tyrion Davis-Price",SF,"9.9","34","99","0","2","0","0","0"
"91",8,"James Robinson",FA,"77.6","110","425","3","14","11","51","2"
"92",8,"Eric Gray",NYG,"0","0","0","0","0","0","0","0"
"93",8,"Deon Jackson",IND,"54.5","68","236","1","34","30","209","1"
"94",9,"Hassan Haskins",TEN,"15","25","93","0","12","11","57","0"
"95",9,"Melvin Gordon III",BAL,"62.1","90","318","2","32","25","223","0"
"96",9,"DeeJay Dallas",SEA,"30.2","35","186","0","19","17","126","0"
"97",9,"Trayveon Williams",CIN,"6","6","30","0","3","2","30","0"
"98",9,"Salvon Ahmed",MIA,"13.2","12","64","1","1","1","8","0"
"99",9,"Myles Gaskin",MIA,"5.4","10","26","0","6","4","28","0"
"100",9,"Ke'Shawn Vaughn",TB,"7.2","17","53","0","4","3","19","0"
"101",9,"Kenyan Drake",FA,"87.1","109","482","4","26","17","89","1"
"102",9,"Kenny McIntosh",SEA,"0","0","0","0","0","0","0","0"
"103",9,"Rico Dowdle",DAL,"0","0","0","0","0","0","0","0"
"104",9,"Deneric Prince",KC,"0","0","0","0","0","0","0","0"
"105",9,"Ameer Abdullah",LV,"29.1","4","20","0","32","25","211","1"
"106",9,"Chris Rodriguez Jr.",WAS,"0","0","0","0","0","0","0","0"
"107",9,"Justice Hill",BAL,"30","49","262","0","12","12","58","0"
"108",9,"Raheem Blackshear",CAR,"33","23","77","3","12","10","93","0"
"109",10,"Kene Nwangwu",MIN,"9.5","9","14","0","2","2","21","0"
"110",10,"J.D. McKissic",FA,"28.8","22","95","0","40","27","173","0"
"111",10,"Darrel Williams",NO,"17.1","21","102","1","8","4","9","0"
"112",10,"Kevin Harris",NE,"11.2","18","52","1","0","0","0","0"
"113",10,"Ty Montgomery",NE,"7.3","2","-2","0","4","3","15","1"
"114",10,"Dontrell Hilliard",FA,"56.2","22","145","0","26","21","177","4"
"115",10,"Darrell Henderson Jr.",FA,"56.5","70","283","3","22","17","102","0"
"116",10,"Craig Reynolds",DET,"21.8","23","102","0","10","9","116","0"
"117",10,"Corey Clement",ARI,"16.9","15","55","1","7","5","54","0"
"118",10,"Mark Ingram II",FA,"34.1","62","233","1","18","16","68","0"
"119",10,"Mike Boone",HOU,"19.8","24","102","0","15","9","96","0"
"120",10,"Rex Burkhead",FA,"34.4","26","80","0","51","37","204","1"
"121",10,"Trey Sermon",PHI,"1.9","2","19","0","0","0","0","0"
"122",10,"Ty Johnson",BUF,"30.8","30","160","1","24","12","88","0"
"123",10,"Kyle Juszczyk",SF,"34.6","7","26","1","23","19","200","1"
"124",10,"Keaton Mitchell",BAL,"0","0","0","0","0","0","0","0"
"125",10,"Travis Homer",CHI,"27.1","19","74","0","18","16","157","1"
"126",10,"Brandon Bolden",LV,"18.8","17","66","0","10","10","62","1"
"127",10,"Demetric Felton Jr.",CLE,"0.4","1","-4","0","4","2","8","0"
"128",10,"Anthony McFarland Jr.",PIT,"4.1","6","30","0","2","2","11","0"
"129",10,"Tyler Badie",DEN,"8.4","1","0","0","1","1","24","1"
"130",10,"Trestan Ebner",CHI,"4.2","24","54","0","8","2","8","0"
"131",10,"Mohamed Ibrahim",FA,"0","0","0","0","0","0","0","0"
"132",10,"Tony Jones Jr.",DEN,"5.4","10","24","0","8","5","30","0"
"133",10,"Jaleel McLaughlin",DEN,"0","0","0","0","0","0","0","0"
"134",10,"Julius Chestnut",TEN,"5.3","9","12","0","3","3","41","0"
"135",11,"Ronnie Rivers",LAR,"5","9","21","0","5","5","29","0"
"136",11,"Alec Ingold",MIA,"23.3","6","8","1","23","15","105","1"
"137",11,"Snoop Conner",JAC,"10.2","12","42","1","0","0","0","0"
"138",11,"Gary Brightwell",NYG,"24","31","141","1","8","5","39","0"
"139",11,"Patrick Ricard",BAL,"9","7","16","0","13","11","74","0"
"140",11,"Damien Williams",LV,"0.2","2","2","0","0","0","0","0"
"141",11,"Dare Ogunbowale",HOU,"28.7","42","123","1","26","20","104","0"
"142",11,"Royce Freeman",LAR,"13","41","117","0","8","6","33","0"
"143",11,"Lew Nichols III",GB,"0","0","0","0","0","0","0","0"
"144",11,"Caleb Huntley",FA,"42.9","76","366","1","2","2","3","0"
"145",11,"Jonathan Williams",WAS,"19.2","37","152","0","10","7","40","0"
"146",11,"Mike Davis",FA,"2.2","8","18","0","2","2","4","0"
"147",11,"Patrick Taylor Jr.",GB,"4.8","10","31","0","1","1","17","0"
"148",11,"Elijah Dotson",LAC,"0","0","0","0","0","0","0","0"
"149",11,"Zander Horvath",LAC,"13.6","4","8","0","8","5","8","2"
"150",11,"John Kelly Jr.",CLE,"0","0","0","0","0","0","0","0"
"151",11,"C.J. Ham",MIN,"21.3","4","7","2","12","10","86","0"
"152",11,"Brittain Brown",LV,"0","0","0","0","0","0","0","0"
"153",11,"Darrynton Evans",BUF,"9.7","14","64","0","1","1","33","0"
"154",11,"Emanuel Wilson",GB,"0","0","0","0","0","0","0","0"
"155",11,"Ty'Son Williams",ARI,"0.5","0","0","0","1","1","5","0"
"156",11,"Jermar Jefferson",DET,"0","0","0","0","0","0","0","0"
"157",11,"Keith Smith",ATL,"1","1","2","0","2","1","8","0"
"158",11,"La'Mical Perine",KC,"0","0","0","0","0","0","0","0"
"159",11,"Jaret Patterson",WAS,"7.8","17","78","0","1","0","0","0"
"160",11,"Emari Demercado",ARI,"0","0","0","0","0","0","0","0"
"161",11,"Jonathan Ward",TEN,"3.2","5","25","0","3","2","7","0"
"162",11,"Jakob Johnson",LV,"1","0","0","0","6","5","10","0"
"163",11,"Reggie Gilliam",BUF,"13.6","0","0","0","11","9","76","1"
"164",11,"Avery Williams",ATL,"19.5","22","109","1","14","13","61","0"
"165",11,"J.J. Taylor",NE,"1.7","10","9","0","1","1","8","0"
"166",11,"Tiyon Evans",FA,"0","0","0","0","0","0","0","0"
"167",11,"Khari Blasingame",CHI,"0","0","0","0","1","0","0","0"
"168",11,"Tyler Goodson",GB,"0","0","0","0","0","0","0","0"
"169",11,"Spencer Brown",CAR,"5.3","9","43","0","4","2","10","0"
"170",11,"Malcolm Brown",FA,"17.8","18","81","1","6","5","37","0"
"171",11,"Adam Prentice",NO,"1.8","4","9","0","3","3","9","0"
"172",11,"Nick Bawden",NYJ,"0","0","0","0","0","0","0","0"
"173",12,"Larry Rountree III",HOU,"3.3","13","19","0","2","2","14","0"
"174",12,"Michael Burton",DEN,"1.8","5","7","0","3","2","11","0"
"175",12,"Tevin Coleman",FA,"19","12","26","1","3","3","44","1"
"176",12,"Patrick Laird",TB,"0","0","0","0","0","0","0","0"
"177",12,"Darius Hagans",PIT,"0","0","0","0","0","0","0","0"
"178",12,"Aidan Borguet",FA,"0","0","0","0","0","0","0","0"
"179",12,"Jason Huntley",IND,"0","0","0","0","0","0","0","0"
"180",12,"Ellis Merriweather",NO,"0","0","0","0","0","0","0","0"
"181",12,"Godwin Igwebuike",ATL,"0.7","3","4","0","1","1","3","0"
